collection_name,item_type
J02,cpu
J01,cpu
D02,gpu
D01,gpu
D04,gpu
D03,gpu
C04,gpu
C03,gpu
C02,gpu
C01,gpu
A04,cpu
A03,cpu
G04,pipes
G03,pipes
A06,cpu
A05,cpu
A02,cpu
A01,cpu
G06,pipes
G05,pipes
G02,pipes
G01,pipes
H02,pipes
H01,pipes
L10,hammers
L09,hammers
L06,hammers
L05,hammers
L08,hammers
L07,hammers
L04,hammers
L03,hammers
L02,hammers
L01,hammers
B04,cpu
B03,cpu
B02,cpu
B01,cpu
K02,nails
K01,nails
I02,nails
I01,nails
F10,hammers
F09,hammers
F06,motherboard
F05,motherboard
F04,motherboard
F03,motherboard
F02,motherboard
F01,motherboard
F08,motherboard
F07,motherboard
