slot_name,entity_type,item
J02/RackSlot9,cardboardbox01_v02D,cpu
J02/RackSlot11,cardboardbox05_v01,cpu
J02/RackSlot13,cardboardbox05_v01,cpu
J02/RackSlot12,cardboardbox01_v02D,pipes
J02/RackSlot23,cardboardbox01_v02D,cpu
J02/RackSlot2,cardboardbox01_v01,cpu
J02/RackSlot16,cardboardbox01_v02D,cpu
J02/RackSlot21,cardboardbox01_v02D,cpu
J02/RackSlot15,cardboardbox01_v01,gpu
J02/RackSlot4,cardboardbox01_v02D,pipes
J02/RackSlot10,cardboardbox05_v01,cpu
J02/RackSlot3,cardboardbox01_v02D,cpu
J02/RackSlot5,cardboardbox01_v01,cpu
J02/RackSlot20,cardboardbox01_v02D,gpu
J02/RackSlot22,cardboardbox01_v02D,cpu
J02/RackSlot17,cardboardbox01_v02D,cpu
J01/RackSlot10,cardboardbox01_v02D,cpu
J01/RackSlot20,cardboardbox05_v01,cpu
J01/RackSlot22,cardboardbox01_v02D,cpu
J01/RackSlot18,cardboardbox05_v01,cpu
J01/RackSlot6,cardboardbox01_v02D,cpu
J01/RackSlot1,cardboardbox01_v02D,cpu
J01/RackSlot21,cardboardbox01_v02D,pipes
J01/RackSlot15,cardboardbox05_v01,cpu
J01/RackSlot23,cardboardbox01_v01,gpu
J01/RackSlot14,cardboardbox01_v01,cpu
J01/RackSlot11,cardboardbox01_v02D,cpu
J01/RackSlot9,cardboardbox01_v02D,cpu
J01/RackSlot24,cardboardbox01_v02D,cpu
J01/RackSlot17,cardboardbox05_v01,cpu
J01/RackSlot3,cardboardbox01_v02D,motherboard
J01/RackSlot16,cardboardbox01_v01,cpu
D02/RackSlot15,cardboardbox01_v02D,gpu
D02/RackSlot10,cardboardbox01_v01,hammers
D02/RackSlot1,cardboardbox05_v01,nails
D02/RackSlot2,cardboardbox05_v01,gpu
D02/RackSlot21,cardboardbox01_v01,gpu
D02/RackSlot8,cardboardbox01_v02D,motherboard
D02/RackSlot19,cardboardbox01_v02D,gpu
D02/RackSlot13,cardboardbox05_v01,gpu
D02/RackSlot24,cardboardbox05_v01,gpu
D02/RackSlot18,cardboardbox01_v01,pipes
D02/RackSlot17,cardboardbox01_v01,gpu
D02/RackSlot16,cardboardbox01_v01,gpu
D02/RackSlot9,cardboardbox05_v01,gpu
D02/RackSlot22,cardboardbox05_v01,nails
D02/RackSlot3,cardboardbox01_v02D,gpu
D02/RackSlot6,cardboardbox01_v02D,gpu
D01/RackSlot21,cardboardbox01_v01,gpu
D01/RackSlot23,cardboardbox01_v01,gpu
D01/RackSlot8,cardboardbox01_v02D,gpu
D01/RackSlot7,cardboardbox01_v01,gpu
D01/RackSlot19,cardboardbox05_v01,gpu
D01/RackSlot1,cardboardbox05_v01,gpu
D01/RackSlot13,cardboardbox05_v01,gpu
D01/RackSlot6,cardboardbox01_v02D,gpu
D01/RackSlot4,cardboardbox01_v02D,gpu
D01/RackSlot14,cardboardbox05_v01,gpu
D01/RackSlot20,cardboardbox01_v01,cpu
D01/RackSlot12,cardboardbox01_v01,pipes
D01/RackSlot22,cardboardbox01_v01,gpu
D01/RackSlot5,cardboardbox01_v01,gpu
D01/RackSlot17,cardboardbox01_v02D,gpu
D01/RackSlot3,cardboardbox01_v01,pipes
D04/RackSlot18,cardboardbox01_v02D,cpu
D04/RackSlot13,cardboardbox01_v01,gpu
D04/RackSlot10,cardboardbox05_v01,gpu
D04/RackSlot17,cardboardbox05_v01,cpu
D04/RackSlot23,cardboardbox05_v01,gpu
D04/RackSlot8,cardboardbox01_v02D,gpu
D04/RackSlot22,cardboardbox05_v01,gpu
D04/RackSlot15,cardboardbox05_v01,gpu
D04/RackSlot21,cardboardbox01_v02D,gpu
D04/RackSlot7,cardboardbox01_v02D,gpu
D04/RackSlot16,cardboardbox05_v01,gpu
D04/RackSlot4,cardboardbox01_v02D,pipes
D04/RackSlot20,cardboardbox05_v01,gpu
D04/RackSlot2,cardboardbox01_v02D,gpu
D04/RackSlot6,cardboardbox01_v01,gpu
D04/RackSlot14,cardboardbox01_v02D,gpu
D03/RackSlot15,cardboardbox01_v02D,cpu
D03/RackSlot14,cardboardbox01_v01,gpu
D03/RackSlot23,cardboardbox05_v01,gpu
D03/RackSlot13,cardboardbox05_v01,pipes
D03/RackSlot11,cardboardbox01_v01,pipes
D03/RackSlot17,cardboardbox05_v01,motherboard
D03/RackSlot1,cardboardbox05_v01,gpu
D03/RackSlot20,cardboardbox01_v02D,gpu
D03/RackSlot8,cardboardbox01_v01,gpu
D03/RackSlot4,cardboardbox01_v02D,gpu
D03/RackSlot18,cardboardbox01_v01,gpu
D03/RackSlot21,cardboardbox05_v01,hammers
D03/RackSlot3,cardboardbox05_v01,hammers
D03/RackSlot6,cardboardbox05_v01,gpu
D03/RackSlot9,cardboardbox05_v01,gpu
D03/RackSlot2,cardboardbox01_v02D,gpu
C04/RackSlot6,cardboardbox01_v02D,gpu
C04/RackSlot21,cardboardbox01_v02D,gpu
C04/RackSlot20,cardboardbox01_v01,gpu
C04/RackSlot7,cardboardbox05_v01,gpu
C04/RackSlot10,cardboardbox01_v02D,gpu
C04/RackSlot22,cardboardbox01_v01,gpu
C04/RackSlot13,cardboardbox05_v01,motherboard
C04/RackSlot19,cardboardbox01_v01,gpu
C04/RackSlot18,cardboardbox01_v02D,gpu
C04/RackSlot14,cardboardbox05_v01,gpu
C04/RackSlot4,cardboardbox05_v01,gpu
C04/RackSlot12,cardboardbox05_v01,gpu
C04/RackSlot17,cardboardbox01_v02D,gpu
C04/RackSlot15,cardboardbox01_v01,gpu
C04/RackSlot1,cardboardbox01_v01,motherboard
C04/RackSlot9,cardboardbox01_v02D,gpu
C03/RackSlot13,cardboardbox01_v02D,nails
C03/RackSlot17,cardboardbox01_v02D,gpu
C03/RackSlot7,cardboardbox01_v02D,gpu
C03/RackSlot22,cardboardbox01_v02D,gpu
C03/RackSlot4,cardboardbox01_v01,pipes
C03/RackSlot23,cardboardbox01_v02D,gpu
C03/RackSlot14,cardboardbox01_v02D,pipes
C03/RackSlot10,cardboardbox05_v01,gpu
C03/RackSlot15,cardboardbox05_v01,gpu
C03/RackSlot12,cardboardbox05_v01,gpu
C03/RackSlot3,cardboardbox05_v01,gpu
C03/RackSlot18,cardboardbox01_v02D,gpu
C03/RackSlot6,cardboardbox01_v01,nails
C03/RackSlot1,cardboardbox01_v01,gpu
C03/RackSlot8,cardboardbox01_v02D,gpu
C03/RackSlot21,cardboardbox01_v02D,gpu
C02/RackSlot14,cardboardbox05_v01,gpu
C02/RackSlot10,cardboardbox01_v01,gpu
C02/RackSlot18,cardboardbox01_v01,gpu
C02/RackSlot4,cardboardbox05_v01,gpu
C02/RackSlot6,cardboardbox01_v01,hammers
C02/RackSlot24,cardboardbox01_v02D,gpu
C02/RackSlot21,cardboardbox05_v01,nails
C02/RackSlot2,cardboardbox01_v02D,gpu
C02/RackSlot3,cardboardbox01_v02D,motherboard
C02/RackSlot19,cardboardbox05_v01,gpu
C02/RackSlot17,cardboardbox01_v02D,cpu
C02/RackSlot11,cardboardbox01_v02D,gpu
C02/RackSlot13,cardboardbox01_v01,gpu
C02/RackSlot12,cardboardbox05_v01,gpu
C02/RackSlot16,cardboardbox01_v01,gpu
C02/RackSlot22,cardboardbox01_v01,cpu
C01/RackSlot4,cardboardbox01_v02D,cpu
