slot_name,unique_id,x,y,z,qx,qy,qz,qw
t1/Slot6,[431241218913221],16.766,12.831,1.016,0.000,0.000,0.707,-0.707
t1/Slot7,[431254103815109],18.230,12.831,1.016,0.000,0.000,0.707,-0.707
t1/Slot8,[431262693749701],19.211,12.831,1.016,0.000,0.000,0.707,-0.707
t1/Slot5,[431266988716997],15.741,12.831,1.016,0.000,0.000,0.707,-0.707
t2/Slot6,[431275578651589],21.766,12.831,1.016,0.000,0.000,0.707,-0.707
t2/Slot7,[431288463553477],23.230,12.831,1.016,0.000,0.000,0.707,-0.707
t2/Slot8,[431297053488069],24.211,12.831,1.016,0.000,0.000,0.707,-0.707
t2/Slot5,[431301348455365],20.741,12.831,1.016,0.000,0.000,0.707,-0.707
J02/RackSlot5,[430837491987397],15.371,4.239,0.793,0.000,0.000,1.000,-0.000
J02/RackSlot1,[430854671856581],14.685,4.239,0.793,0.000,0.000,0.000,1.000
J02/RackSlot6,[430858966823877],15.371,3.336,0.793,0.000,0.000,1.000,-0.000
J02/RackSlot2,[430863261791173],14.685,3.336,0.793,0.000,0.000,0.000,1.000
J01/RackSlot5,[430867556758469],15.359,6.472,0.793,0.000,0.000,1.000,-0.000
J01/RackSlot2,[430876146693061],14.685,5.575,0.793,0.000,0.000,0.000,1.000
J01/RackSlot1,[430884736627653],14.685,6.472,0.793,0.000,0.000,0.000,1.000
J01/RackSlot6,[430893326562245],15.359,5.575,0.793,0.000,0.000,1.000,-0.000
I02/RackSlot5,[429463102452677],20.371,4.239,0.793,0.000,0.000,1.000,-0.000
I02/RackSlot1,[429480282321861],19.685,4.239,0.793,0.000,0.000,0.000,1.000
I02/RackSlot6,[429484577289157],20.371,3.336,0.793,0.000,0.000,1.000,-0.000
I02/RackSlot2,[429488872256453],19.685,3.336,0.793,0.000,0.000,0.000,1.000
I01/RackSlot5,[429493167223749],20.359,6.472,0.793,0.000,0.000,1.000,-0.000
I01/RackSlot2,[429501757158341],19.685,5.575,0.793,0.000,0.000,0.000,1.000
I01/RackSlot1,[429510347092933],19.685,6.472,0.793,0.000,0.000,0.000,1.000
I01/RackSlot6,[429518937027525],20.359,5.575,0.793,0.000,0.000,1.000,-0.000
