collection_name,item_type
J02,cpu
J01,gpu
D02,pipes
D01,nails
D04,hammers
D03,motherboard
C04,gpu
C03,pipes
C02,motherboard
C01,hammers
A04,cpu
A03,gpu
G04,pipes
G03,nails
A06,hammers
A05,cpu
A02,motherboard
A01,pipes
G06,nails
G05,hammers
G02,cpu
G01,motherboard
H02,pipes
H01,nails
L10,hammers
L09,cpu
L06,gpu
L05,motherboard
L08,nails
L07,hammers
L04,cpu
L03,gpu
L02,pipes
L01,motherboard
B04,hammers
B03,cpu
B02,gpu
B01,motherboard
K02,nails
K01,hammers
I02,motherboard
I01,gpu
F10,pipes
F09,nails
F06,hammers
F05,cpu
F04,motherboard
F03,pipes
F02,nails
F01,hammers
F08,cpu
F07,gpu
