slot_name,unique_id,x,y,z,qx,qy,qz,qw
GarbageContainer01/DropTarget,[36096707561595],7.953,22.059,1.021,0.000,0.000,0.707,0.707
t3/Slot8,[37552701474939],19.240,10.230,1.015,0.000,0.000,0.707,-0.707
t3/Slot6,[37556996442235],16.726,10.230,1.015,0.000,0.000,0.707,-0.707
t3/Slot5,[37561291409531],15.700,10.230,1.015,0.000,0.000,0.707,-0.707
t3/Slot2,[37565586376827],16.726,9.771,1.015,0.000,0.000,0.707,0.707
t3/Slot7,[37569881344123],18.214,10.230,1.015,0.000,0.000,0.707,-0.707
t3/Slot3,[37574176311419],18.214,9.771,1.015,0.000,0.000,0.707,0.707
t3/Slot1,[37578471278715],15.700,9.771,1.015,0.000,0.000,0.707,0.707
t3/Slot4,[37582766246011],19.240,9.771,1.015,0.000,0.000,0.707,0.707
t4/Slot5,[37587061213307],20.700,10.230,1.015,0.000,0.000,0.707,-0.707
t4/Slot7,[37591356180603],23.214,10.230,1.015,0.000,0.000,0.707,-0.707
t4/Slot1,[37595651147899],20.700,9.771,1.015,0.000,0.000,0.707,0.707
t4/Slot6,[37599946115195],21.726,10.230,1.015,0.000,0.000,0.707,-0.707
t4/Slot2,[37604241082491],21.726,9.771,1.015,0.000,0.000,0.707,0.707
t4/Slot8,[37608536049787],24.240,10.230,1.015,0.000,0.000,0.707,-0.707
t4/Slot4,[37612831017083],24.240,9.771,1.015,0.000,0.000,0.707,0.707
t4/Slot3,[37617125984379],23.214,9.771,1.015,0.000,0.000,0.707,0.707
t1/Slot8,[37630010886267],19.240,12.730,1.015,0.000,0.000,0.707,-0.707
t1/Slot6,[37634305853563],16.726,12.730,1.015,0.000,0.000,0.707,-0.707
t1/Slot5,[37638600820859],15.700,12.730,1.015,0.000,0.000,0.707,-0.707
t1/Slot2,[37642895788155],16.726,12.271,1.015,0.000,0.000,0.707,0.707
t1/Slot7,[37647190755451],18.214,12.730,1.015,0.000,0.000,0.707,-0.707
t1/Slot3,[37651485722747],18.214,12.271,1.015,0.000,0.000,0.707,0.707
t1/Slot1,[37655780690043],15.700,12.271,1.015,0.000,0.000,0.707,0.707
t1/Slot4,[37660075657339],19.240,12.271,1.015,0.000,0.000,0.707,0.707
t2/Slot5,[37664370624635],20.700,12.730,1.015,0.000,0.000,0.707,-0.707
t2/Slot7,[37668665591931],23.214,12.730,1.015,0.000,0.000,0.707,-0.707
