object_name,uri
ego,product_asset:///assets/rbkairos_plus.spawnable
cardboardbox01_v01,product_asset:///assets/payload/boxes/cardboardbox01_v01.spawnable
cardboardbox01_v02D,product_asset:///assets/payload/boxes/cardboardbox01_v02D.spawnable
cardboardbox01_v03,product_asset:///assets/payload/boxes/cardboardbox01_v03.spawnable
cardboardbox02_v01,product_asset:///assets/payload/boxes/cardboardbox02_v01.spawnable
cardboardbox02_v02D,product_asset:///assets/payload/boxes/cardboardbox02_v02D.spawnable
cardboardbox03_v01,product_asset:///assets/payload/boxes/cardboardbox03_v01.spawnable
cardboardbox03_v02O,product_asset:///assets/payload/boxes/cardboardbox03_v02O.spawnable
cardboardbox04_v01,product_asset:///assets/payload/boxes/cardboardbox04_v01.spawnable
cardboardbox05_v01,product_asset:///assets/payload/boxes/cardboardbox05_v01.spawnable
cardboardbox06_v01,product_asset:///assets/payload/boxes/cardboardbox06_v01.spawnable
cardboardbox07_v01,product_asset:///assets/payload/boxes/cardboardbox07_v01.spawnable
cardboardbox08_v01,product_asset:///assets/payload/boxes/cardboardbox08_v01.spawnable
oilspill1,product_asset:///assets/payload/oilspills/oilspill1.spawnable
oilspill2,product_asset:///assets/payload/oilspills/oilspill2.spawnable
